,has_organizationID,has_name,has_description,has_organizationType,has_category,has_hashtag,has_administrator,has_logo,has_foundationYear,has_fiscalCode,has_latitude,has_longitude,has_contactPoint
229,org_3060,A.S.D. Budō no michi,"
L’associazione, creata dall’Istruttore Daniel Insam, nasce in ricordo del M. Giuliano Boschetti, che è stato suo Maestro per 11 anni e lo ha portato a conseguire il grado di 2° Dan e la qualifica di Istruttore di Yoseikan Budo, ed il 1° Dan e la qualifica di Allenatore di Kick Boxing.L’associazione ha come obiettivo quello di portare gli allievi adulti sul Budō no michi (Cammino delle arti marziali), ma non dimentica i più piccoli, per i quali viene creato un percorso personalizzato con lo scopo di muoversi divertendosi, senza tralasciare la via marziale. L'associazione collabora con alcune scuole primarie del Comune di Trento, alle quali propone piccole basi di Kick Boxing e Yoseikan Budo.L'associazione offre l'insegnamento delle arti marziali quali Kick Boxing e Yoseikan Budo, con percorsi motori personalizzati a partire dai 5 anni di età, studiati per l'apprendimento dei movimenti di base e all'avviamento allo sport. Per i più grandi, di 10/15 anni, vengono proposti percorsi di tipo agonistico con la possibilità di partecipare a competizioni. Per gli adulti vengono proposti dei percorsi in cui viene approfondito il tema della difesa personale che passo dopo passo porta alla via marziale.",,"Intrattenimento - tempo libero
Sport
Arti marziali",,pr_87506,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/a.s.d.-budo-no-michi/12299914-1-ita-IT/A.S.D.-Budo-no-michi.png,2020-01-01,96111740229.0,46.06583,46.06583,cp_6845525526
230,org_1929,Scuola Musicale Il Diapason s.c.,"La Scuola Musicale Il Diapason è una giovane società cooperativa, nata nel 1989, attiva nell'ambito della formazione musicale, dell'editoria (dal 2003 è presente in Provincia di Trento con un proprio marchio editoriale) e dell'attività artistica (suo è il marchio Il Diapason Ensemble) che opera principalmente sui territori comunali di Trento, Lavis, Zambana, Mezzocora e Aldeno.",,Musica,,,/var/comunetn/storage/images/citta/vivi-la-citta/associazioni/scuola-musicale-il-diapason-s.c/5692138-2-ita-IT/Scuola-Musicale-Il-Diapason-s.c.jpg,1989-01-01,1241560224.0,46.058619,46.058619,cp_9533854404
231,org_41641,G.A.D. Città di Trento,"Storica compagnia cittadina dedita al teatro amatoriale, fondata nel 1946 da Mario Roat ed altri.Dal 1979 la direzione è affidata ad Alberto Uez e l'attiivtà si indirizza verso due filoni culturali: il teatro comico nei secoli e la presentazione di una drammaturgia del '900 significativa, con un contributo anche al teatro dialettale trentino.",,Teatro,,,/var/comunetn/storage/images/citta/vivi-la-citta/associazioni/g.a.d.-citta-di-trento/12868803-1-ita-IT/G.A.D.-Citta-di-Trento.jpg,1946-01-01,80017570229.0,46.04962,46.04962,cp_9513236619
232,org_2333,"Associazione Culturale Donne Albanesi in Trentino ""TEUTA"" - APS","Mission:“Solo conoscendo a fondo la propria cultura si è in grado di apprezzare e rispettare quella altrui”.FinalitàTEUTA vuole essere uno strumento efficace della mediazione interculturale sul territorio comunale, provinciale e oltre. Riferimento alle donne immigrate, in particolare quelle albanesi per trovare risposte ai quesiti che la quotidianità pone. Uno spazio in cui fare confluire la solidarietà sociale. Uno specchio in cui riflettere e comparare le situazioni. Una guida per la comunità albanese nei percorsi da intraprendere, attraverso i progetti di pari opportunità, interculturali e lo spazio di un centro di attuazione.TEUTA vuole essere un ponte fra due paesi, due culture attraverso i progetti di cooperazione allo sviluppo, ovvero la solidarietà internazionale e il sostegno alle popolazioni del Trentino e Albania.Gli obiettivi: 


Per quanto associazione femminile, lavora con l’impegno verso le donne:


TEUTA ha l’obbiettivo di impegnarsi per le pari opportunità attraverso dei percorsi d’informazione e formazione. Inoltre si impegna in ricerca e indagini sulla situazione femminile sul territorio provinciale.L’integrazione sociale degli immigrati etc.2- Sviluppare la mediazione interculturale sul territorio, con particolarità di scoperta delle affinità culturli fra i popoli e la ricchezza delle differenze3- Mantenere la lingua e la cultura d’origine nella comunità albane insediata sul territorio provinciale, ma anche promuovere l’acquisizione delle competenze della lingua italiana.4- Aiutare la nazione di provenienza attraverso i progetti internazionali, ma anche far conoscere al nostro paese, il Trentino come terra ospitante.5- Nei momenti storici di anniversari si impegnerà di curare il rilascio della testimonianza documentata della memoria dell’immigrazione e della convivenza, degli albanesi sul territorio Regionale. I documenti realizzati fin’ora sono 3 mostre e due libro.Settori di intervento- Mediazione interculturale fra la comunità albanese e tutto il territorio trentino. Indirizzato in particolare ai giovani, le donne e alle famiglie albanesi per la facilitazione dell’interazione in tutto il territorio provinciale.- Presentare alle varie realtà del territorio, la Lingua e Cultura Albanese e confrontarsi per identificare le affinità e le differenze, valutandoli come ricchezza nella convivenza del paese.- Diffondere gli elementi della lingua e cultura albanese nei giovani albanesi come valore di identità attraverso la quale veicola la cultura di un popolo.- Consulenze e sostegno nelle varie attività della vita come: lavoro, scuola, sanità, famiglia etc- Partecipazione alle attività del territorio che promuovono la convivenza, intercultura e interazione.- Progetti di solidarietà internazionale fra Trentino e Albania, in con priorità alla gioventù ne le donne. Gemellaggi fra scuole e altri istituzioni di formazione, associazioni, fondazioni, gruppi musicali, sportivi e perfino comuni, Provincia e oltre.",,"Volontariato e solidarietà
Cooperazione",,,/var/comunetn/storage/images/citta/vivi-la-citta/associazioni/associazione-culturale-donne-albanesi-in-trentino-teuta-aps/5699488-3-ita-IT/Associazione-Culturale-Donne-Albanesi-in-Trentino-TEUTA-APS.jpg,2009-01-01,96079810220.0,46.065584,46.065584,cp_3881631052
233,org_81390,A.Ge.D.O.  Trentino  ODV,"Agedo Trentino è una organizzazione di volontariato che raggruppa genitori, parenti, amici, di persone lesbiche, gay, bisessuali, transessuali e altre identità sessuali.Ha due finalità essenziali:


fornire aiuto e sostegno a quei genitori che vivono uno stato di disagio e sofferenza per la scoperta dell'omosessualità o di altre identità sessuali minoritarie

promuovere una cultura che rispetti e valorizzi ogni soggettività e ogni identità sessuale


",,Volontariato e solidarietà,,pr_25913,/var/comunetn/storage/images/ulteriori-sezioni/comitato-unico-di-garanzia/rete-re.a.dy/rete-re.a.dy-trento/associazioni-del-territorio/a.ge.d.o.-trentino-odv/12896351-4-ita-IT/A.Ge.D.O.-Trentino-ODV.jpg,2021-01-01,96105840225.0,46.064867,46.064867,cp_1370469037
234,org_48767,FECCRIT - Federazione Circoli Culturali e Ricreativi del Trentino,"La Federazione ricomprende Circoli Culturali e Ricreativi, i Gruppi Folkloristici, e i Gruppi Storico-Rievocativi del Trentino. Organizza eventi culturali di rilievo provinciale e nazionale legati alla cultura, alla storia, al folklore e alla musica etnografico-popolare. Offre ai propri associati vari servizi e consulenze per la gestione associativa e la veicolazione del sistema culturale provinciale. ",,"Intrattenimento - tempo libero
Musica
Sport",,pr_95078,/var/comunetn/storage/images/citta/vivi-la-citta/associazioni/feccrit-federazione-circoli-culturali-e-ricreativi-del-trentino/5274638-2-ita-IT/FECCRIT-Federazione-Circoli-Culturali-e-Ricreativi-del-Trentino.jpg,2008-01-01,80024500227.0,46.100826,46.100826,cp_5258247769
235,org_393,Avis del Trentino Odv,,,"Volontariato e solidarietà
Assistenza",,pr_68788,/var/comunetn/storage/images/citta/vivi-la-citta/associazioni/avis-del-trentino-odv/5665069-4-ita-IT/Avis-del-Trentino-Odv.png,2008-01-01,96020490221.0,46.06003,46.06003,cp_4347927815
236,org_2424,ANTEAS - Associazione Nazionale Tutte le Età Attive per la Solidarietà del Trentino Onlus,"L'Associazione propone alle persone in stato di bisogno i seguenti servizi su tutto il territorio comunale. Servizio di ritiro e trasferimento provette dalla residenza al laboratorio analisi, ritiro e consegna medicinali nelle giornate festive (solo al mattino), servizio di accompagnamento a visite specialistiche, ospedali vari, accompagnamento per ritiro pensione, spesa, disbrigo pratiche, servizio di compagnia a casa o per brevi passeggiate, seminari sui temi della famiglia, ecc. ecc.",,"Volontariato e solidarietà
Assistenza",,pr_98198,/var/comunetn/storage/images/citta/vivi-la-citta/associazioni/anteas-associazione-nazionale-tutte-le-eta-attive-per-la-solidarieta-del-trentino-onlus/6327451-5-ita-IT/ANTEAS-Associazione-Nazionale-Tutte-le-Eta-Attive-per-la-Solidarieta-del-Trentino-Onlus.jpg,2011-01-01,96088330228.0,46.074779,11.121749,cp_8102543418
237,org_2466,Unione delle Famiglie Trentine all'Estero APS,L'associazione promuove e realizza iniziative per diffondere la cultura e la lingua italiana con particolare riferimento alla specificità trentina; divulga nelle scuole e sul territorio provinciale la storia dell'emigrazione trentina; promuove gli interscambi tra giovani trentini e giovani stranieri discendenti da trentini; organizza gemellaggi o momenti di incontro con realtà dell'associazionismo trentino con uguali realtà presenti all'estero,,"Volontariato e solidarietà
Cooperazione",,pr_62396,/var/comunetn/storage/images/citta/vivi-la-citta/associazioni/unione-delle-famiglie-trentine-all-estero-aps/6952433-4-ita-IT/Unione-delle-Famiglie-Trentine-all-Estero-APS.png,2012-01-01,96008250225.0,46.061145,46.061145,cp_4088465285
238,org_968,CO.PAG Mattarello - Comitato Permanente Associazioni e Gruppi,"L'Associazione, oltre a curare tutti gli aspetti organizzativi della Sagra dei Santi Anzoi,  si occupa anche di supportare le associazioni nelle loro attività durante tutto l'anno.",,"Intrattenimento - tempo libero
Folklore",,pr_90187,/var/comunetn/storage/images/citta/vivi-la-citta/associazioni/co.pag-mattarello-comitato-permanente-associazioni-e-gruppi/5273978-3-ita-IT/CO.PAG-Mattarello-Comitato-Permanente-Associazioni-e-Gruppi.png,2008-01-01,96008060228.0,46.005696,46.005696,cp_8250403446
