,DENOMINAZIONE,ID,INDIRIZZO,COMUNE,PROVINCIA,COMUNITA DI VALLE,NAZIONE,SITO INTERNET,LATITUDINE,LONGITUDINE,ALTITUDINE,CATEGORIA 1,CATEGORIA 2,CODICE ACCESSIBILITA' 1,CODICE ACCESSIBILITA' 2,CODICE ACCESSIBILITA' 3,CODICE ACCESSIBILITA' 4,CODICE ACCESSIBILITA' 5,CODICE ACCESSIBILITA' 6,CODICE ACCESSIBILITA' 7,CODICE ACCESSIBILITA' 8,CODICE ACCESSIBILITA' 9,CODICE ACCESSIBILITA' 10,CODICE ACCESSIBILITA' 11,CODICE ACCESSIBILITA' 12,CODICE ACCESSIBILITA' 13,CODICE ACCESSIBILITA' 14,CODICE ACCESSIBILITA' 15,CODICE ACCESSIBILITA' 16,CODICE ACCESSIBILITA' 17,CODICE ACCESSIBILITA' 18,DATA ULTIMA MODIFICA,DATA RILEVAZIONE
181,BAR OLIMPIA,24,"VIA BELENZANI, 33/1",Trento,TN,Territorio Val D'adige,Italia,www.caffeolimpia.com,46.06812,11.12124,195.0,Bar,,AI-6d,AI-5b,AE-3cf,AE-3abde,AI-6i,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AE-2d,AI-6r,,,,,,,,2013-06-06 15:49:09.074,2013-01-15
182,BAR ORCHIDEA,15,"VIA ORFANE, 17",Trento,TN,Territorio Val D'adige,Italia,,46.068984,11.120076,203.0,Bar,,AI-6d,AI-5b,AE-3cf,AI-6i,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AI-6r,AE-3abde,,,,,,,,,2013-06-06 15:01:46.472,2013-01-31
183,BAR ORIOLA,8,"VIA ORIOLA, 28",Trento,TN,Territorio Val D'adige,Italia,,46.06834,11.12346,199.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AI-6r,,,,,,,,2013-01-14 09:59:04.2,2013-01-11
184,BAR PASI,39,PIAZZA PASI,Trento,TN,Territorio Val D'adige,Italia,,46.06781,11.12209,199.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AI-6ad,AE-1abc,AI-6r,AI-6bc,,,,,,,,,,,2013-01-14 11:46:22.333,2013-01-11
185,BAR PASTICCERIA TEATRO,1370,"Via Oss Mazzurana, 15",Trento,TN,Territorio Val D'adige,Italia,,46.069367,11.122515,0.0,Pasticcerie,Bar,AI-6e,AI-6p,AI-6d,AE-1abc,AI-6fg,AE-3abde,AI-6i,AE-3cf,AI-6l,AE-2d,AI-6o,,,,,,,,2016-01-29 11:34:18.147,2014-10-14
186,BAR PERINI CIVICO 131,192,"VIA PERINI, 131",Trento,TN,Territorio Val D'adige,Italia,,46.06042,11.12195,185.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-2d,AE-2c,AI-6r,,,,,,2016-01-05 16:30:50.263,2010-02-09
187,BAR PRATI,657,"VIA DEI MURADEI, 4",Trento,TN,Territorio Val D'adige,Italia,,46.057213,11.1181957,200.0,Bar,,AI-6d,AI-5b,AE-3cf,AE-3abde,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AE-2c,AI-6r,,,,,,,,2013-01-15 20:53:09.797,2010-07-01
188,BAR ROBY,228,"VIA TRAVAI,"" 34",Trento,TN,Territorio Val D'adige,Italia,,46.0644,11.12117,271.0,Bar,,AI-6d,AI-5c,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AE-2c,AI-6r,,,,2016-01-05 16:28:42.712,2010-03-17
189,BAR ROSA,216,"VIA PIAVE, 56",Trento,TN,Territorio Val D'adige,Italia,,46.0623,11.12565,207.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6i,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AI-6r,,,,,,,,,2013-01-08 16:01:25.522,2010-04-09
190,BAR ROSSINI,2,"VIA SUFFRAGIO, 27",Trento,TN,Territorio Val D'adige,Italia,,46.0714,11.125001,239.0,Bar,,AI-5e,AE-3cf,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AE-2c,AI-6d,AE-3abde,,,,,,,2013-06-06 12:10:41.168,2013-01-04
191,BAR SANTA CHIARA (OSPEDALE S.CHIARA),210,"LARGO MEDAGLIE D'ORO, 1",Trento,TN,Territorio Val D'adige,Italia,,46.0578948,11.1329703,180.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AE-2d,,,,,,2013-01-07 17:03:31.785,2010-04-13
192,BAR SANTA CHIARA,167,"VIA SANTA CROCE, 59",Trento,TN,Territorio Val D'adige,Italia,,46.0636,11.12357,212.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AI-6r,,,,,,,,,,2013-01-07 14:50:20.284,2010-01-29
193,BAR STAZIONE TRENITALIA,270,"PIAZZA DANTE, 1",Trento,TN,Territorio Val D'adige,Italia,,46.07265,11.11985,185.0,Bar,,AE-3cf,AE-3abde,AE-1abc,AE-2d,,,,,,,,,,,,,,,2010-05-21 07:33:10,2010-03-23
194,BAR TN/MALE',269,VIA DOGANA 3,Trento,TN,Territorio Val D'adige,Italia,,46.07318,11.12061,138.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,,,,,,,,,2013-01-11 08:40:42.979,2010-03-23
195,BAR TORINO,220,PIAZZA SILVIO PELLICO 3/2,Trento,TN,Territorio Val D'adige,Italia,,46.071742,11.123912,185.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AE-2c,AI-6r,,,,,,,,,2013-02-04 08:52:10.699,2013-02-01
196,BAR TORRE VANGA,153,"PIAZZA LEONARDO DA VINCI, 1",Trento,TN,Territorio Val D'adige,Italia,,46.069768,11.118202,188.0,Bar,,AI-6d,AE-3abde,AI-6l,AI-6r,AI-6fg,AI-6i,AI-6e,AI-6ad,AE-1abc,AE-3cf,AI-6bc,,,,,,,,2017-11-17 10:37:47.288,2013-01-22
197,BAR TRE PORTONI,170,"VIA S. CROCE, 48",Trento,TN,Territorio Val D'adige,Italia,,46.06388,11.12361,220.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6i,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AI-6r,AI-6p,,,,,,,,,2013-01-07 14:59:56.581,2010-02-02
198,BAR VEGAS,305,"Via Bezzecca, 4",Trento,TN,Territorio Val D'adige,Italia,,46.0628609,11.1310403,180.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6l,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,,,,,,,,,,2010-06-09 06:37:56,2010-05-25
199,BAR ZINZORLA,560,"PIAZZA GENERALE CANTORE, 12",Trento,TN,Territorio Val D'adige,Italia,,46.0774364,11.1197069,200.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6bc,AI-6ad,AE-1abc,AE-2c,AI-6fg,AI-6r,,,,,,,,,2016-01-05 16:18:50.303,2010-07-07
200,BARYCENTRO,218,"PIAZZA VENEZIA, 38 (ZONA PORT'AQUILA)",Trento,TN,Territorio Val D'adige,Italia,www.gruppospes.it,46.06981,11.12748,198.0,Bar,Librerie,AI-6d,AI-5c,AE-3cf,AE-3abde,AI-6p,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AI-6r,,,,,,2013-12-03 11:00:29.121,2013-01-15
201,BENETTI,1071,"VIA DEGLI ORTI, 7",Trento,TN,Territorio Val D'adige,Italia,,46.0657,11.1216,0.0,Riparazione Autovetture,,AE-2d,AE-3cf,AE-3abde,,,,,,,,,,,,,,,,2013-03-11 15:39:21.05,2010-09-13
202,BEST WESTERN QUID HOTEL,810,"VIA INNSBRUCK, 11",Trento,TN,Territorio Val D'adige,Italia,www.quidhoteltrento.com,46.1018531,11.1013046,200.0,Alberghi / Hotel,Ristoranti,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AI-8i,AI-8efg,AI-8efga,AI-8o,AI-8n,AI-8m,2016-03-17 12:29:29.595,2010-08-24
203,BIBLIOTECA COMUNALE DI TRENTO,91,"VIA ROMA, 55",Trento,TN,Territorio Val D'adige,Italia,www.bibcom.trento.it,46.0696,11.12073,248.0,Biblioteche,,AI-6d,AI-5fb,AI-5fa,AI-5f,AI-5c,AE-3cf,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-3abde,,,,,2019-05-03 11:41:04.19,2016-05-03
204,BIBLIOTECA DEL MUSEO TRIDENTINO DI SCIENZE NATURALI,512,"VIA CALEPINA, 10",Trento,TN,Territorio Val D'adige,Italia,www.mtsn.it/biblioteca,46.0669458,11.13087,200.0,Associazioni,,AE-3cf,AE-3abde,AE-1abc,AE-2d,,,,,,,,,,,,,,,2011-04-06 14:54:21,2010-07-26
205,BIBLIOTECA DELL'ISTITUTO REGIONALE DI STUDI E RICERCA SOCIALE,530,"PIAZZA  SANTA MARIA MAGGIORE, 7",Trento,TN,Territorio Val D'adige,Italia,www.irsrs.tn.it,46.068675,11.119205,200.0,Biblioteche,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-2d,AE-2b,AE-1abc,AI-6ad,AI-6bc,AE-2g,AE-2gb,AE-2ga,AE-2a,2013-01-23 10:01:14.784,2013-01-21
206,BIBLIOTECA DELLA GIUNTA PROVINCIALE DI TRENTO,514,"VIA ROMAGNOSI,"" 9 - C/O CENTRO EUROPA",Trento,TN,Territorio Val D'adige,Italia,www.provincia.tn.it,46.0732112,11.128254,200.0,Uffici Pubblici,Biblioteche,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,,,,,,,,,,2013-01-24 16:19:50.46,2010-07-26
207,BIBLIOTECA DELLA MONTAGNA - PALAZZO SARACINI CRESSERI,390,"Via Manci, 57",Trento,TN,Territorio Val D'adige,Italia,www.sat.tn.it,46.0699422,11.1232717,200.0,Biblioteche,,AI-6d,AE-3abde,AI-6r,AI-5f,AI-5fb,AI-5fa,AI-5c,AI-6p,AI-6l,AI-6i,AI-6e,AE-1abc,AE-2a,AI-6fg,AE-3cf,,,,2016-05-05 11:03:51.718,2016-05-03
208,BIBLIOTECA SULLE AUTONOMIE E MINORANZE LINGUISTICHE,511,"VIA GAZZOLETTI, 2",Trento,TN,Territorio Val D'adige,Italia,www.regione.taa.it,46.071857,11.121855,200.0,Biblioteche,,AI-6d,AE-3cf,AI-6p,AI-6l,AI-6fg,AI-6e,AE-1abc,AE-2b,AI-6i,AE-2a,AI-6r,AE-3abde,,,,,,,2013-02-01 14:25:26.439,2013-02-01
209,BIBLIOTECA UNIVERSITARIA CENTRALE - EX PALAZZO CAVAZZANI,623,"VIA VERDI, 8",Trento,TN,Territorio Val D'adige,Italia,www.portale.unitn.it/biblioteca,46.0663801,11.1160111,200.0,Biblioteche,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,,,,,,,2014-01-29 14:36:11.549,2013-12-12
210,BIG CENTER,575,"VIA DEGASPERI, 1/17",Trento,TN,Territorio Val D'adige,Italia,,46.0495288,11.1223165,200.0,Attivita commerciali,,AE-3cf,AE-3abde,AE-2gb,AE-2ga,AE-2g,,,,,,,,,,,,,,2011-04-08 11:06:38,2010-07-08
211,BLOCKBUSTER ITALIA SPA,776,"VIA DEL BRENNERO, 16",Trento,TN,Territorio Val D'adige,Italia,www.blockbuster.it,46.0922662,11.1158929,200.0,Librerie,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,,2011-05-27 14:23:11,2010-07-14
212,BLUE BAR,214,"VIA PAOLO ORSI, 7",Trento,TN,Territorio Val D'adige,Italia,,46.0572436,11.1320535,183.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AE-2d,AI-6r,,,,,,2016-01-11 15:53:52.288,2010-04-13
213,BNL - BANCA NAZIONALE DEL LAVORO,183,"CORSO TRE NOVEMBRE, 21",Trento,TN,Territorio Val D'adige,Italia,,46.06168,11.12444,193.0,Bancomat,,AE-4h,AE-1abc,,,,,,,,,,,,,,,,,2010-12-21 09:44:44,2010-02-03
214,BOTTEGA DEL CAFFE' DERSUT,20,"VIA DELLE ORFANE, 5",Trento,TN,Territorio Val D'adige,Italia,www.dersut.it,46.069291,11.120042,230.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AI-6r,AI-5b,,,,,,,,,,2013-06-06 15:27:20.523,2013-02-01
215,BOUGANVILLE,572,"VIA PETRARCA,"" 1/4",Trento,TN,Territorio Val D'adige,Italia,,46.0724524,11.1237509,200.0,Ristoranti,Pizzerie,AI-6d,AI-5c,AE-3cf,AE-3abde,AI-6p,AI-6l,AI-6i,AI-6fg,AI-6e,AE-2c,,,,,,,,,2016-02-09 15:21:17.029,2010-07-07
216,BREN CENTER,721,"VIA TRENER, 16",Trento,TN,Territorio Val D'adige,Italia,,46.0947884,11.1152304,200.0,Attivita commerciali,,AI-6d,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,,,,,,,,,,,2011-05-25 13:47:13,2010-07-08
217,BRIGHENTI,342,"VIA SUFFRAGIO, 37",Trento,TN,Territorio Val D'adige,Italia,www.brighenti.eu,46.071208,11.124969,180.0,Ortopedie e Sanitarie,,AE-3cf,AE-3abde,AE-2c,,,,,,,,,,,,,,,,2013-01-11 10:57:09.964,2013-01-11
218,Bar dei Botesei,502,"Via Gorizia, 18",Trento,TN,Territorio Val D'adige,Italia,,46.0589472,11.1309134,200.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AE-2c,,,,,,,,,,,2010-09-21 14:09:33,2010-07-27
219,Bluvacanze Trento,396,"Via XXIV maggio, 2/2",Trento,TN,Territorio Val D'adige,Italia,www.viaggiconchiglia.net,46.0638138,11.1217172,200.0,Agenzie viaggi e Promozione Turistica,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,,2010-08-23 10:25:22,2010-08-19
220,C.I.R.S. CENTRO PROVINCIALE DI TRENTO - ONLUS,195,"VIA TARAMELLI, 17",Trento,TN,Territorio Val D'adige,Italia,www.cirstn.it,46.06144,11.11837,198.0,Associazioni,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-2a,,,,,,,,2010-03-05 08:55:06,2010-02-16
221,CAFE' CREME,197,"VIA PIAVE, 74",Trento,TN,Territorio Val D'adige,Italia,,46.06243,11.12609,194.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6i,AI-6fg,AI-6bc,AI-6ad,AE-2c,AI-6r,AE-1abc,,,,,,,,2016-01-11 16:15:30.21,2010-03-03
222,CAFFE' AL CORSO,179,"CORSO 3 NOVEMBRE, 40",Trento,TN,Territorio Val D'adige,Italia,,46.06192,11.12423,227.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AI-6r,,,,,,,2016-01-11 16:11:31.531,2010-02-03
223,CAFFE' AL TEMPO PERSO,219,"VIA PETRARCA, 32",Trento,TN,Territorio Val D'adige,Italia,,46.072167,11.1234695,167.0,Bar,,AE-3cf,AE-3abde,AI-6p,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AE-2c,AI-6r,AI-6d,,,,,,,2013-01-08 16:07:29.353,2010-03-09
224,CAFFE' DA GIORGIO,217,"VIA ROSMINI, 56",Trento,TN,Territorio Val D'adige,Italia,,46.066278,11.11899,143.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6r,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AE-2c,,,,,,,,,2017-11-17 10:38:53.841,2013-01-22
225,CAFFE' EXCELSIOR,26,"VIA S. PIETRO ANG. VIA MANCI, 58",Trento,TN,Territorio Val D'adige,Italia,,46.070058,11.124312,229.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-2c,AI-6r,,,,,,,,,2016-01-11 16:31:20.476,2013-01-25
226,CAFFE' LATTE,89,"VIA MANCI, 20",Trento,TN,Territorio Val D'adige,Italia,,46.069777,11.122238,200.0,Pizzerie,Bar,AI-6d,AI-6r,AI-6p,AI-5c,AE-3cf,AI-6fg,AE-1abc,AE-3abde,,,,,,,,,,,2016-01-11 16:46:28.558,2013-01-23
227,CAFFE' MANZONI,1079,"VIA MANZONI, 19",Trento,TN,Territorio Val D'adige,Italia,,46.073376,11.125052,0.0,Bar,,AI-6d,AI-6r,AI-6fg,AI-6p,AE-3cf,AE-3abde,,,,,,,,,,,,,2013-03-13 16:44:56.067,2013-03-13
228,CAFFE' PIAZZA LODRON,33,"PIAZZA LODRON, 21",Trento,TN,Territorio Val D'adige,Italia,,46.06809,11.12339,251.0,Ristoranti,Bar,AE-3abde,AI-6bc,AE-2d,AI-6i,AI-6fg,AI-6e,AE-3cf,AI-6d,AI-6ad,,,,,,,,,,2016-01-11 16:56:44.428,2009-11-03
229,CAFFE' PORTICI,96,"PIAZZA DUOMO, 10",Trento,TN,Territorio Val D'adige,Italia,,46.06769,11.12099,210.0,Bar,,AI-6d,AI-5b,AE-3cf,AE-3abde,AI-6i,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AE-2c,AI-6r,,,,,,,,2016-01-11 17:13:54.414,2013-01-16
230,CAFFE' SILVANA,109,"VIA BARTOLOMEO DA TRENTO, 6",Trento,TN,Territorio Val D'adige,Italia,,46.07615,11.12451,185.0,Bar,,AI-6d,AE-3cf,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AE-2d,AE-3abde,AI-6i,,,,,,,,,,2016-01-12 09:11:59.368,2009-10-06
231,CAFFE' TRIDENTE,85,PIAZZA DUOMO,Trento,TN,Territorio Val D'adige,Italia,,46.06748,11.12137,225.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AE-2d,AI-6r,,,,,,,2016-01-12 09:19:48.2,2013-01-16
232,CAFFE' VENEZIA,166,"LARGO PORTA NUOVA, 11",Trento,TN,Territorio Val D'adige,Italia,,46.0675111,11.126518,232.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6e,AE-1abc,AE-2c,AI-6fg,,,,,,,,2016-01-12 09:25:20.365,2013-01-14
233,CAFFE' VERDI,227,"VIA VERDI, 31/3",Trento,TN,Territorio Val D'adige,Italia,,46.06663,11.11862,220.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6l,AI-6fg,AI-6e,AI-6r,AI-6ad,AE-1abc,AI-6bc,,,,,,,,2016-01-12 09:54:35.547,2013-01-23
234,CAFFÉ MOZART,145,"VIA VERDI, 32",Trento,TN,Territorio Val D'adige,Italia,,46.06686,11.12063,195.0,Bar,,AI-6d,AI-5b,AE-3cf,AE-3abde,AI-6fg,AI-6r,AE-1abc,,,,,,,,,,,,2017-11-17 10:40:06.728,2013-01-22
235,CAFFÉ ONDA,714,"VIA LUNELLI, 54 - C/O PALAZZO ONDA",Trento,TN,Territorio Val D'adige,Italia,,46.0921064,11.1173985,200.0,Paninoteche,Bar,AI-6d,AE-3cf,AE-3abde,AI-6i,AI-6fg,AI-6e,AI-6ad,AI-6bc,AE-1abc,AI-6r,AI-6p,AI-6l,,,,,,,2016-01-12 10:08:45.83,2010-08-05
236,CAFFÉ RISTORANTE UNIVERSITA',144,"VIA A. PRATI, 4",Trento,TN,Territorio Val D'adige,Italia,,46.0662,11.1197,241.0,Ristoranti,Bar,AI-6d,AE-3cf,AI-6l,AI-6e,AI-6bc,AI-6ad,AE-1abc,AE-2d,AI-6fg,AI-6r,AE-3abde,,,,,,,,2016-01-12 10:14:30.405,2013-01-31
237,CALZOLERIA DA ALCIDE,416,"VICOLO DELL'ADIGE, 21",Trento,TN,Territorio Val D'adige,Italia,,46.0704475,11.1235552,200.0,Attivita commerciali,,AE-3cf,AE-3abde,AE-1abc,AE-2c,,,,,,,,,,,,,,,2013-01-28 09:49:22.583,2013-01-25
238,"CAMERA DI COMMERCIO, INDUSTRIA, ARTIGIANATO E AGRICOLTURA DI TRENTO",361,"Via Calepina, 13",Trento,TN,Territorio Val D'adige,Italia,www.tn.camcom.it,46.0669328,11.1228213,200.0,Uffici Pubblici,,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AE-1abc,AI-6l,AI-6fg,AI-6p,AI-5c,AI-6e,AI-6d,AI-6r,AE-2d,,,,,2013-01-11 10:19:57.16,2013-01-10
239,CAMPI SPORTIVI c/o RESIDENZA UNIVERSITARIA SANTA MARGHERITA,1313,"VIA SANTA MARGHERITA, 13",Trento,TN,Territorio Val D'adige,Italia,www.operauni.tn.it,46.068298,11.117751,0.0,Impianti Sportivi,,AI-6fg,AE-2b,AE-1abc,AI-6o,AI-6i,AE-3abde,AI-5c,AE-2a,AI-6l,AI-6e,AE-3cf,AI-6p,AI-6d,,,,,,2013-12-09 09:17:47.124,2013-11-29
240,CAMPO ATLETICA LEGGERA - C.O.N.I.,355,"VIA MACCANI, 2",Trento,TN,Territorio Val D'adige,Italia,,46.0801693,11.1171418,200.0,Impianti Sportivi,,AI-5b,AE-1abc,AE-2c,,,,,,,,,,,,,,,,2011-03-21 15:11:24,2010-05-05
241,CANTINE DI TORRE MIRANA - COMUNE DI TRENTO ,151,"VIA BELENZANI, 3",Trento,TN,Territorio Val D'adige,Italia,www.comunetrento.tn.it,46.0695,11.12112,229.0,Uffici Pubblici,Edifici Storici,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-2d,AE-3cf,,,,,,,2013-01-16 17:22:25.499,2013-01-16
242,CAPPELLA OSPEDALE S. CHIARA,211,"LARGO MEDAGLIE D'ORO, 1",Trento,TN,Territorio Val D'adige,Italia,,46.0578948,11.1329703,,Edifici di Culto,,AE-3cf,AE-3abde,AE-1abc,AE-2d,,,,,,,,,,,,,,,2010-04-16 02:31:32,2010-04-13
243,CAPPELLA VANTINI DI PALAZZO THUN - COMUNE DI TRENTO ,745,"VIA BELENZANI, 3",Trento,TN,Territorio Val D'adige,Italia,www.comunetrento.it,46.0689399,11.1213617,200.0,Centri e sale culturali,Musei,AE-3cf,AE-1abc,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6d,AE-2c,AE-3abde,AI-5d,,,,,,,,2018-07-11 13:54:54.595,2010-07-15
244,CARITAS DIOCESANA TRENTO,335,"VIA ENDRICI, 27",Trento,TN,Territorio Val D'adige,Italia,www.webdiocesi.chiesacattolica.it,46.0634724,11.1216852,180.0,Associazioni,,AE-3cf,AE-3abde,AE-1abc,AE-2c,,,,,,,,,,,,,,,2010-06-16 13:31:04,2010-05-18
245,CASA CIVICA DI RIPOSO,576,"VIA SAN GIOVANNI BOSCO, 10",Trento,TN,Territorio Val D'adige,Italia,www.civicatnapsp.it,46.0645971,11.126757,200.0,Strutture Residenziali,,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-2d,,,,,2011-04-08 13:03:42,2010-07-08
246,CASA DEL CIOCCOLATO,46,"VIA BELENZANI, 21",Trento,TN,Territorio Val D'adige,Italia,,46.06872,11.12109,221.0,Pasticcerie,Dolciumi,AE-3cf,AI-6p,AI-6fg,AI-6r,AI-6i,AI-6d,AE-1abc,AE-2d,AE-3abde,,,,,,,,,,2016-02-01 10:05:22.6,2013-01-23
247,CASA DI CURA VILLA BIANCA,256,VIA PIAVE 78,Trento,TN,Territorio Val D'adige,Italia,wwww.trento1.cardionet.it,46.0625758,11.1262886,190.0,Ospedali,,AI-6d,AI-5fb,AI-5fa,AI-5f,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AE-2gb,AE-2ga,AE-2g,AE-2c,AE-2a,2011-03-11 12:15:43,2010-05-04
248,CASANOVA CAFE',212,"LARGO MEDAGLIE D'ORO, 5",Trento,TN,Territorio Val D'adige,Italia,,46.0579492,11.1325833,180.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6i,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AE-2c,AI-6r,,,,,,,,2016-01-12 10:19:57.767,2010-04-13
249,CASSA RURALE ALTO GARDA filiale TRENTO,1416,"VIA FRATELLI PERINI, 33/35",Trento,TN,Territorio Val D'adige,Italia,www.cr-altogarda.net,46.05989,11.119452,200.0,Bancomat,Banca,AE-3abde,AE-2b,AE-2a,AE-1abc,AE-3cf,AE-4h,,,,,,,,,,,,,2018-01-22 15:33:36.136,2017-11-15
250,CASSA RURALE DELLA VALLE DEI LAGHI,190,"VIA PERINI, 35",Trento,TN,Territorio Val D'adige,Italia,www.cr-vallelaghi.net,46.05998,11.11998,192.0,Bancomat,,AE-4h,AE-3cf,AE-3abde,AE-1abc,AE-2d,,,,,,,,,,,,,,2013-01-07 16:02:11.124,2010-02-09
251,CASSA RURALE DI ALDENO E CADINE (esterno),259,VIA VERDI 19,Trento,TN,Territorio Val D'adige,Italia,,46.0665898,11.1176884,200.0,Bancomat,,AE-4h,AE-1abc,AE-2c,,,,,,,,,,,,,,,,2013-01-23 11:17:54.032,2013-01-22
252,CASSA RURALE DI ALDENO E CADINE (interno),260,VIA VERDI 19,Trento,TN,Territorio Val D'adige,Italia,,46.0665858,11.1176884,190.0,Bancomat,,AE-4h,AE-3cf,AE-3abde,AE-1abc,AE-2c,,,,,,,,,,,,,,2013-01-23 11:20:47.914,2013-01-22
253,CASSA RURALE DI ALDENO E CADINE,373,"Via Brennero, 256/A",Trento,TN,Territorio Val D'adige,Italia,,46.0922438,11.1153302,200.0,Bancomat,,AE-4h,AE-2a,,,,,,,,,,,,,,,,,2010-12-21 09:51:35,2010-08-04
254,CASSA RURALE DI ALDENO E CADINE,68,"VIA GALILEI, 11",Trento,TN,Territorio Val D'adige,Italia,,46.06771,11.12578,195.0,Bancomat,,AE-4h,AE-1abc,,,,,,,,,,,,,,,,,2010-12-21 09:52:20,2009-11-02
255,CASSA RURALE DI TRENTO ,301,"VIA GRAZIOLI, 38",Trento,TN,Territorio Val D'adige,Italia,,46.0668257,11.1293616,180.0,Bancomat,,AE-1abc,AE-2c,,,,,,,,,,,,,,,,,2010-06-08 12:50:43,2010-05-25
256,CASSA RURALE DI TRENTO ,372,"Via Brennero, 320 c/o TOP CENTER",Trento,TN,Territorio Val D'adige,Italia,,46.0920846,11.1153921,200.0,Bancomat,,AE-4h,,,,,,,,,,,,,,,,,,2010-12-21 10:20:44,2010-08-04
