,DENOMINAZIONE,ID,INDIRIZZO,COMUNE,PROVINCIA,COMUNITA DI VALLE,NAZIONE,SITO INTERNET,LATITUDINE,LONGITUDINE,ALTITUDINE,CATEGORIA 1,CATEGORIA 2,CODICE ACCESSIBILITA' 1,CODICE ACCESSIBILITA' 2,CODICE ACCESSIBILITA' 3,CODICE ACCESSIBILITA' 4,CODICE ACCESSIBILITA' 5,CODICE ACCESSIBILITA' 6,CODICE ACCESSIBILITA' 7,CODICE ACCESSIBILITA' 8,CODICE ACCESSIBILITA' 9,CODICE ACCESSIBILITA' 10,CODICE ACCESSIBILITA' 11,CODICE ACCESSIBILITA' 12,CODICE ACCESSIBILITA' 13,CODICE ACCESSIBILITA' 14,CODICE ACCESSIBILITA' 15,CODICE ACCESSIBILITA' 16,CODICE ACCESSIBILITA' 17,CODICE ACCESSIBILITA' 18,DATA ULTIMA MODIFICA,DATA RILEVAZIONE
14,A.N.M.I.C. Associazione Nazionale Mutilati e Invalidi Civili,284,"Via Orazio Benevoli, 22",Trento,TN,Territorio Val D'adige,Italia,www.anmic-tn.org,46.054135,11.120441,180.0,Associazioni,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AI-6e,AE-1abc,AE-2e,AE-2a,AE-2c,,,,,,,,,,2018-01-05 16:01:32.42,2010-05-17
15,A.N.M.I.L. Associazione Nazionale Mutilati e Invalidi del Lavoro ,285,"Via San Pio X, 38",Trento,TN,Territorio Val D'adige,Italia,www.anmil.it,46.0528137,11.1208529,180.0,Associazioni,,AE-3cf,AE-3abde,AI-6fg,AI-6e,AE-1abc,AE-2e,AE-2c,AE-2a,AI-6d,,,,,,,,,,2018-01-05 16:07:10.601,2010-05-25
16,A.P.A.P.I : AGENZIA PROVINCIALE PER L'ASSISTENZA E LA PREVIDENZA INTEGRATIVA - SPORTELLO INFORMATIVO,221,"PIAZZA SILVIO PELLICO, 8/3",Trento,TN,Territorio Val D'adige,Italia,www.apapi.provincia.tn.it,46.071759,11.123917,187.0,Uffici Pubblici,,AE-3cf,AE-3abde,AE-1abc,AE-2d,AE-2a,AE-2b,,,,,,,,,,,,,2013-02-04 16:01:24.662,2013-02-04
17,A.P.A.P.I: AGENZIA PROVINCIALE PER L'ASSISTENZA E LA PREVIDENZA INTEGRATIVA - DIREZIONE,222,"PIAZZA SILVIO PELLICO, 8",Trento,TN,Territorio Val D'adige,Italia,www.apapi.provincia.tn.it,46.071759,11.123917,187.0,Uffici Pubblici,,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AE-1abc,AE-2c,AE-2a,,,,,,,,,,,2013-02-04 16:00:09.006,2013-02-04
18,A.P.C.A.T. Associazione Provinciale dei Club degli Alcolisti in Trattamento - Centro Studi,1509,"VIA SIGHELE, 3",Trento,TN,Territorio Val D'adige,Italia,www.apcattrentino-centrostudi.it,46.060178,11.123823,200.0,Associazioni,,AI-6r,AI-6fg,AI-6e,AI-6d,AE-3cf,AE-3abde,AE-2b,AE-2a,AE-1abc,,,,,,,,,,2020-06-29 16:57:06.791,2019-06-10
19,A.P.C.A.T. Associazione Provinciale dei Club degli Alcolisti in Trattamento Centro studi,291,"VIA SIGHELE, 7",Trento,TN,Territorio Val D'adige,Italia,www.apcattrentino-centrostudi.it,46.060178,11.123823,180.0,Associazioni,,AI-6d,AE-3cf,AE-3abde,AE-2b,AE-2a,AI-6e,AE-1abc,AI-6fg,,,,,,,,,,,2020-06-29 16:47:33.274,2010-05-17
20,A.R.C.A. ASSOCIAZIONE RICERCA COMPORTAMENTO ALIMENTARE,694,"VIA BRONZETTI, 29",Trento,TN,Territorio Val D'adige,Italia,www.arcatrento.wordpress.com,46.058677,11.121518,200.0,Associazioni,,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6fg,AI-6e,AI-6p,AI-6l,AI-6i,AI-6d,AI-5fb,AE-2d,AE-2b,AE-1abc,AE-2a,AI-6r,,,2019-06-13 10:52:30.907,2010-07-16
21,A.R.I.S. Associazione Riabilitazione Inserimento Sociale Famiglie Malati Psichici,286,"Via al Torrione, 6",Trento,TN,Territorio Val D'adige,Italia,,46.065148,11.122281,180.0,Associazioni,,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AE-1abc,AE-2d,AI-6r,AI-6p,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6d,AI-6bc,AI-6ad,AE-2b,AE-2a,2019-06-05 14:43:45.621,2010-05-17
22,A.T.D. Associazione Trentina Diabetici ,297,"Via al Torrione, 6",Trento,TN,Territorio Val D'adige,Italia,,46.065148,11.122281,180.0,Associazioni,,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AE-1abc,AE-2d,AI-6fg,AI-6r,AI-6bc,AE-2b,AI-6i,AI-6l,AI-6e,AI-6p,AI-6d,AI-6ad,AE-2a,2019-06-05 11:00:59.943,2010-05-14
23,A.T.M.A.R. Associazione Trentina Malati Reumatici Onlus,287,"Via al Torrione, 6",Trento,TN,Territorio Val D'adige,Italia,www.reumaticitrentino.it,46.065148,11.122281,180.0,Associazioni,,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AE-1abc,AE-2d,AI-6fg,AI-6r,AI-6bc,AE-2b,AI-6i,AI-6l,AI-6e,AI-6p,AI-6d,AI-6ad,AE-2a,2019-06-05 14:24:00.272,2010-05-19
24,A.U.S.E.R. Associazione per Autogestione dei Servizi e la Solidarietà,337,"Via Vittorio Veneto, 24",Trento,TN,Territorio Val D'adige,Italia,www.auser.it,46.0579773,11.1203449,180.0,Associazioni,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AE-1abc,AE-2ga,AE-2gb,AE-2g,AE-2c,,,,,,,,,,2018-01-11 17:10:59.507,2010-05-25
25,A.V.I.S. Associazione Volontari Italiani Sangue,331,"VIA SIGHELE, 7",Trento,TN,Territorio Val D'adige,Italia,www.avistrentino.org,46.060468,11.123765,180.0,Associazioni,,AE-3cf,AE-3abde,AI-5fb,AI-5fa,AI-5f,AI-5c,AE-2b,AE-2a,AE-1abc,,,,,,,,,,2019-06-25 11:34:00.832,2010-05-20
26,A.V.U.L.S.S. Associazione Volontariato Unità Locali servizi Socio Sanitari,336,"Via Endrici, 27",Trento,TN,Territorio Val D'adige,Italia,www.avulss.org,46.0634724,11.1216852,180.0,Associazioni,,AE-3cf,AE-3abde,AE-1abc,AE-2c,,,,,,,,,,,,,,,2010-06-16 13:39:01,2010-05-25
27,ACCADEMIA,807,"VICOLO COLICO, 4/6",Trento,TN,Territorio Val D'adige,Italia,www.accademiahotel.it,46.06872,11.120272,200.0,Alberghi / Hotel,Bed & Breakfast,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-8efg,AE-1abc,AI-8m,AI-8n,AI-8a,AI-7a,AI-6fg,AI-7bcdef,AI-6r,AI-6bc,AI-8cd,AI-6p,AI-6d,2016-03-17 12:01:36.372,2013-01-21
28,ACLI SEDE PROVINCIALE,82,"VIA ROMA, 57",Trento,TN,Territorio Val D'adige,Italia,www.aclitrentine.it,46.06961,11.12075,257.0,Uffici Pubblici,,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6p,AI-6r,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AE-2c,AE-2a,,2013-01-24 10:54:59.349,2013-01-23
29,ACLI SERVIZI TRENTINO SRL,424,"GALLERIA TIRRENA, 10",Trento,TN,Territorio Val D'adige,Italia,www.acliservizi.it,46.0684675,11.1216115,200.0,Uffici Pubblici,,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AE-1abc,AE-2c,AE-2a,AI-6d,AI-6fg,AI-6r,AI-6i,AI-6l,AI-6e,AI-6p,,,,2017-11-27 12:00:51.005,2013-01-15
30,ACLI TRENTINE - CIRCOLO SAN GIUSEPPE SAN PIO X,699,"VIA VENETO, 24",Trento,TN,Territorio Val D'adige,Italia,,46.0579773,11.1203449,200.0,Associazioni,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,,2015-06-30 11:51:46.476,2010-07-16
31,ACUSTICA TRENTINA,339,"VIALE VERONA, 31/2",Trento,TN,Territorio Val D'adige,Italia,www.acustica.trentina.com,46.057174,11.1282428,180.0,Farmacie,,AE-3cf,AE-3abde,AE-2d,,,,,,,,,,,,,,,,2011-03-15 19:33:47,2010-05-17
