,Unnamed: 0,has_latitude,has_longitude,information,opening_hours,facility_type,smoking,architecturalBarriers,name,sport,has_capacity,menu,hiking,has_location,has_contactPoint
29,29,45.8524169921875,11.010878562927246,no information specified,,parking,,ab_6083,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,614926907,cp_1669982670
30,30,45.85580825805664,11.018006324768066,no information specified,,viewpoint,,ab_10178,'Torretta di avvistamento',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,618787853,cp_2306575547
31,31,45.86246490478516,11.033446311950684,map,,information,,ab_29282,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",yes,618788142,cp_8576854649
32,32,45.89097595214844,11.034255027770996,no information specified,,taxi,,ab_26172,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,648183974,cp_3692609267
33,33,45.88184356689453,11.024230003356934,no information specified,,picnic_site,,ab_90439,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,664123464,cp_6125874122
34,34,45.88199234008789,11.024859428405762,no information specified,,picnic_site,,ab_28211,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,664123468,cp_2373740612
35,35,45.84357833862305,11.008539199829102,no information specified,,cafe,,ab_88943,'Mery',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,692740839,cp_6008054187
36,36,45.902130126953125,11.066655158996582,no information specified,,information,,ab_70611,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,715298544,cp_7978493269
37,37,45.9041748046875,11.043258666992188,no information specified,,restaurant,,ab_14241,'Pizzeria Brione',,,"{'cuisine': 'pizza', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,777284830,cp_1241779468
38,38,45.89273452758789,11.04003620147705,no information specified,,restaurant,,ab_51151,'Pizzeria Napoli',,,"{'cuisine': 'pizza', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,780142013,cp_7183842659
39,39,45.88872528076172,11.043112754821776,no information specified,"Tu-Su 12:00-14:30,19:00-22:30",restaurant,,ab_14859,'Sushi alla Roza',,,"{'cuisine': 'japanese', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,802269764,cp_7930162405
40,40,45.888370513916016,11.040579795837402,no information specified,,cafe,,ab_85691,"""Harry'S Bar""",,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,806751374,cp_6669234156
41,41,45.88531875610352,11.03002643585205,no information specified,,restaurant,,ab_92532,'Pizzeria Fucine',,,"{'cuisine': 'pizza', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,883455523,cp_5775573099
42,42,45.86443710327149,11.028525352478027,no information specified,"Mo-We 11:45-14:30,19:00-23:00; Th,Fr 11:45-14:30,19:00-23:30; Sa 18:00-24:00",restaurant,False,ab_61336,'La Brace',,,"{'cuisine': 'italian;pizza', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,903941484,cp_5268930703
43,43,45.87255859375,11.024307250976562,no information specified,,restaurant,,ab_69738,'Ristorante alla Staffa',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,915652265,cp_1711994664
44,44,45.84086990356445,11.045178413391112,no information specified,,viewpoint,,ab_98729,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,989258588,cp_2988226630
45,45,45.85215759277344,11.033161163330078,map,,information,,ab_65541,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",yes,1126466839,cp_8024492722
46,46,45.85567855834961,11.026084899902344,guidepost,,information,,ab_56834,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",yes,1126466857,cp_1159291610
47,47,45.86088943481445,11.014381408691406,map,,information,,ab_25063,'Biotopo Lavini di Marco',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",yes,1126515681,cp_2087804724
48,48,45.84551239013672,11.037425994873049,guidepost,,information,,ab_63410,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",yes,1139425028,cp_1599711673
49,49,45.84576797485352,11.036543846130373,Orme di dinosauri,,attraction,,ab_44883,'sito paleontologico Lavini di Marco',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1139425226,cp_1077614169
50,50,45.9085578918457,11.04050636291504,no information specified,,hotel,,ab_78884,"""Sant'Ilario""",,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1154395699,cp_4741250559
51,51,45.9084358215332,11.04045867919922,no information specified,,restaurant,,ab_83148,'Ristorante S.Ilario Pizzeria',,,"{'cuisine': 'pizza', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1154395707,cp_6999206497
52,52,45.894527435302734,11.04323387145996,no information specified,,picnic_site,,ab_12045,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1172286405,cp_9001144921
53,53,45.84428024291992,11.049418449401855,no information specified,,viewpoint,,ab_59579,'Vista sulla vallagarina da Malga Tof',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1226652361,cp_2935994736
54,54,45.90739440917969,11.059138298034668,guidepost,,information,,ab_10380,'sentiero Volano',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1273084924,cp_8292584408
55,55,45.87721252441406,11.033884048461914,no information specified,,playground,,ab_13666,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1300585590,cp_4236732378
56,56,45.857421875,11.001477241516112,no information specified,,restaurant,,ab_26460,'Ristorante lounge bar Indovino',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1350658043,cp_2441010018
57,57,45.88980865478516,11.039705276489258,no information specified,"Mo-Tu Off; We-Sa 11:30-14:30, 17:30-00:00; Su Off",restaurant,,ab_55628,'al Silenzio',,,"{'cuisine': 'italian', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1366734642,cp_2967528606
58,58,45.88731002807617,11.062677383422852,no information specified,,parking,,ab_69011,,,8,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1374813267,cp_8786153991
59,59,45.89644241333008,11.040804862976074,no information specified,,restaurant,,ab_59047,'Trattoria da Pierino',,,"{'cuisine': 'italian', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1402541403,cp_2066273842
60,60,45.8961296081543,11.11950969696045,guidepost,,information,,ab_43509,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",yes,1442631799,cp_4460074283
61,61,45.8878288269043,11.068081855773926,no information specified,,viewpoint,,ab_49775,'Merespiz',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1479411597,cp_7649137861
62,62,45.80276870727539,11.057520866394045,no information specified,,viewpoint,,ab_31314,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1508795331,cp_6358085729
63,63,45.84274291992188,11.007575035095217,no information specified,,restaurant,,ab_22762,'La Pizia',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1838686233,cp_9636199091
64,64,45.88547134399414,11.04470157623291,no information specified,,pub,,ab_84734,'Circolo Operaio SantaMaria',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1985829027,cp_6368149329
65,65,45.88695907592773,11.045169830322266,no information specified,Tu-Su 10:00-18:00,museum,,ab_65657,"""Casa d'Arte Futurista Depero""",,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,1992954489,cp_7546715154
66,66,45.87535858154297,11.033438682556152,no information specified,,pub,,ab_55829,'Druido',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2150998976,cp_4623262285
67,67,45.8900032043457,11.029582023620604,no information specified,,hangar,,ab_17875,'PlasticRock',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2154616596,cp_5995431037
68,68,45.88917922973633,11.044614791870115,no information specified,,restaurant,,ab_45250,'Al trivio',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2159310289,cp_1784236498
69,69,45.889495849609375,11.044875144958496,no information specified,,pub,,ab_71717,'Locos',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2159317571,cp_2171232718
70,70,45.88963317871094,11.043471336364746,no information specified,,pub,,ab_70066,'Perbacco',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2159318291,cp_7413538372
71,71,45.89158248901367,11.043752670288086,no information specified,,restaurant,,ab_25110,'Osteria del Pettirosso',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2159362024,cp_3834948872
72,72,45.88816833496094,11.052062034606934,no information specified,,wayside_shrine,,ab_76686,'Santa Maria Assunta',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2164525589,cp_1721925294
73,73,45.89948654174805,11.041558265686035,no information specified,,cafe,,ab_18459,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2171057706,cp_8240256523
74,74,45.90085983276367,11.042067527770996,no information specified,,cafe,,ab_68916,'Bar City',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2173939085,cp_3584730045
75,75,45.88776779174805,11.100862503051758,no information specified,,hut,,ab_97511,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2191481474,cp_3223479001
76,76,45.88988876342773,11.04219913482666,no information specified,,hostel,,ab_43117,'Ostello di Rovereto',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2482401350,cp_9888368338
77,77,45.89108657836914,11.04336166381836,map,,information,,ab_14747,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2482496415,cp_7330082159
78,78,45.89018249511719,11.041335105895996,no information specified,,cafe,,ab_42795,'Bottega del Caffé',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2484653256,cp_7948820915
79,79,45.88995361328125,11.04220199584961,no information specified,,cafe,,ab_85993,'Bar Bianco',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2484736017,cp_5727561801
80,80,45.88996887207031,11.04133415222168,no information specified,,cafe,,ab_86186,'Caffè Excelsior',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2484736018,cp_9711351181
81,81,45.88912963867188,11.042221069335938,no information specified,,artwork,,ab_84496,'Cavallo',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2484736019,cp_9881857687
82,82,45.88837432861328,11.041534423828123,no information specified,,cafe,,ab_71908,'Tiffany',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2484736030,cp_6909373407
83,83,45.888519287109375,11.044824600219728,no information specified,,restaurant,,ab_55768,'Vecchia Trattoria Birraria Scala della Torre',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2484736031,cp_8614265908
84,84,45.89102554321289,11.041471481323242,no information specified,,taxi,,ab_93807,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2484872540,cp_7043580086
85,85,45.89107894897461,11.04373836517334,guidepost,,information,,ab_77176,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2485113274,cp_2917317873
86,86,45.8858528137207,11.045780181884766,guidepost,,information,,ab_96462,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",yes,2485130499,cp_2412267969
87,87,45.88587188720703,11.045747756958008,board,,information,,ab_29537,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2485130500,cp_9793790721
88,88,45.889286041259766,11.04222297668457,guidepost,,information,,ab_22307,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2485140729,cp_2926754611
89,89,45.89076232910156,11.037881851196287,no information specified,,restaurant,,ab_16356,"""Ristorante Novecento dell'Hotel Rovereto""",,,"{'cuisine': 'regional;pizza', 'isVegetarian': 'yes', 'isVegan': 'yes', 'isGlutenFree': None}",,2486092346,cp_5124146218
90,90,45.90494918823242,11.040772438049316,no information specified,,social_centre,,ab_94539,"""C'entro anch'io""",,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2491278462,cp_9281843499
91,91,45.887794494628906,11.04454231262207,Vegan Restaurant - Ristorante Vegano,"Th-Sa 12:00-14:00,20:00-23:00",restaurant,,ab_47973,"""l'Orto di Pitagora""",,,"{'cuisine': None, 'isVegetarian': 'yes', 'isVegan': 'yes', 'isGlutenFree': None}",,2493523507,cp_5487930795
92,92,45.90833282470703,11.040472030639648,no information specified,,cafe,,ab_78148,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2509331932,cp_5621460321
93,93,45.89059448242188,11.032063484191896,no information specified,,cafe,,ab_76170,'Bar Piave',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2509341606,cp_6153810445
94,94,45.90771484375,11.040985107421877,no information specified,,restaurant,,ab_71775,'Watami',,,"{'cuisine': 'chinese;japanese', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2638148201,cp_4833103057
95,95,45.8890495300293,11.033533096313477,no information specified,,restaurant,,ab_67129,'Sushoku',,,"{'cuisine': 'japanese', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2638148558,cp_4096548390
96,96,45.904052734375,11.03700828552246,no information specified,,caravan_site,,ab_38907,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2841347980,cp_2922801990
97,97,45.82794570922852,11.050745964050291,board,,information,,ab_23728,'15-18 Trincerone - Kopfstellung',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2870563114,cp_3475828041
98,98,45.82769775390625,11.05189609527588,board,,information,,ab_95414,'15-18 Trincerone-Kopfstellung',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2870563115,cp_6160260047
99,99,45.81632995605469,11.053653717041016,board,,information,,ab_30645,'15-18 Cimiteri di guerra',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2870575147,cp_4094600891
100,100,45.81509017944336,11.056804656982422,no information specified,,picnic_site,,ab_52483,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2872557496,cp_3578611749
101,101,45.84098434448242,11.046082496643066,no information specified,,picnic_site,,ab_29508,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2881112697,cp_3948766405
102,102,45.88800048828125,11.044631004333496,no information specified,,restaurant,,ab_65122,'Assaporando',,,"{'cuisine': 'mediterranean', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,2946662243,cp_1298053395
103,103,45.89183044433594,11.04212474822998,no information specified,,restaurant,,ab_89130,'Pizzeria Marco',,,"{'cuisine': 'pizza', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,3076630067,cp_7803656941
104,104,45.88882827758789,11.03594970703125,no information specified,"Mo-Th 07:30-19:00; Fr 07:30-12:00,14:30-19:00; Sa 08:00-12:00",cafe,,ab_32587,'StreetBikers',,,"{'cuisine': 'italian', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,3116375600,cp_7224763089
105,105,45.889923095703125,11.043506622314451,no information specified,,cafe,,ab_57165,'Bar Andreatta',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': 'yes', 'isGlutenFree': None}",,3230336766,cp_8928179442
106,106,45.88804626464844,11.040311813354492,no information specified,,food_court,,ab_98593,'Forchettiamo',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,3281937447,cp_2122121223
107,107,45.88631820678711,11.04631233215332,no information specified,,museum,,ab_94658,'Museo Storico Italiano della Guerra',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,3312642477,cp_9512863927
108,108,45.88928985595703,11.041951179504396,no information specified,,gallery,,ab_63756,'Tonolli',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,3334278990,cp_4985977204
109,109,45.8072395324707,11.058968544006348,no information specified,,picnic_table,,ab_69673,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,3463722730,cp_3788011269
110,110,45.887813568115234,11.044767379760742,no information specified,,restaurant,False,ab_12967,"""Drago d'Oro""",,,"{'cuisine': 'chinese', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,3699585392,cp_9494233506
111,111,45.8955307006836,11.039850234985352,no information specified,,dance,,ab_7284,'Danza Mania',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,3813891780,cp_5688207013
112,112,45.89493560791016,11.038039207458496,no information specified,,cafe,,ab_73942,"""Ca dell'Ora""",,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,3815830157,cp_6417234358
113,113,45.89554977416992,11.037134170532228,no information specified,,restaurant,,ab_4090,'Margherita',,,"{'cuisine': 'pizza', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,3815857590,cp_1982923051
114,114,45.90307235717773,11.042699813842772,no information specified,Th-Fr 15:00-20:30; Sa 12:00-18:00,sauna,,ab_90007,'Area 39',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,3867879077,cp_3262649305
115,115,45.896278381347656,11.037278175354004,no information specified,,cafe,,ab_48967,'Serendipity',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,4005533476,cp_1140443314
116,116,45.88691329956055,11.043563842773438,no information specified,,restaurant,,ab_35282,'Terrazza sul Leno',,,"{'cuisine': 'pizza', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,4013446318,cp_4267796659
117,117,45.85226440429688,11.033066749572754,board,,information,,ab_54666,'Orme dei dinosauri',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,4198336191,cp_8306765355
118,118,45.84255599975586,11.033524513244627,guidepost,,information,,ab_57120,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",yes,4198336192,cp_1265601119
119,119,45.84506607055664,11.031564712524414,board,,information,,ab_30324,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,4198336193,cp_4027455040
120,120,45.84507369995117,11.031442642211914,guidepost,,information,,ab_40602,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",yes,4198336194,cp_3263338623
121,121,45.8476791381836,11.034431457519531,board,,information,,ab_24109,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,4198336196,cp_6062333543
122,122,45.8497314453125,11.035041809082031,board,,information,,ab_50563,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,4198336198,cp_1524647753
123,123,45.85065841674805,11.033910751342772,board,,information,,ab_29801,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,4198336201,cp_9374993109
124,124,45.8507194519043,11.033164024353027,board,,information,,ab_26738,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,4198336202,cp_5467175594
125,125,45.85161590576172,11.032987594604492,board,,information,,ab_93327,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,4198336203,cp_1299371510
126,126,45.85204315185547,11.03319263458252,board,,information,,ab_31499,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,4198336204,cp_3570883509
127,127,45.91127014160156,11.053194999694824,no information specified,,picnic_table,,ab_79885,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,4605995908,cp_8328792841
128,128,45.80731201171875,11.058351516723633,no information specified,,picnic_table,,ab_66582,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,4729737243,cp_2933327723
129,129,45.83642578125,11.050061225891112,board,,information,,ab_76664,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,4784928624,cp_2988554554
