Nome evento;ID evento;Ordine n.;Data ordine;Quantità;Tipologia biglietto;Nome della sede;N. sede;Nome organizzatore;Partecipante n.;Tipo acquirente;Partita IVA;Data partecipazione;Data check-in;Affiliato;Valuta;Totale pagato;Stato partecipante;Metodo di consegna
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1958600189;2021-09-29 14:46:21;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2792763439;Singolo;;Sep 29, 2021 at 6:30 PM;;oddtdteb;EUR;0;Partecipante;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1952293439;2021-09-28 16:40:38;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2783218529;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:19 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1957817519;2021-09-29 12:55:24;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2791668529;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:19 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1946088619;2021-09-27 18:30:46;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2773678269;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:19 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1920385349;2021-09-23 9:05:55;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2725332369;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:20 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1939192079;2021-09-26 14:09:11;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2760405039;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:21 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1957904189;2021-09-29 13:08:28;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2791791309;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:22 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1958772039;2021-09-29 15:06:40;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2793005769;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:23 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1949188899;2021-09-28 7:28:46;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2778796489;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:25 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1952299599;2021-09-28 16:41:29;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2783226559;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:25 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1957798279;2021-09-29 12:52:14;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2791644119;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:26 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1956403189;2021-09-29 7:45:57;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2789772599;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:26 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1927568659;2021-09-24 9:04:14;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2736111789;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:26 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1932915869;2021-09-25 0:53:02;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2746033419;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:26 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1953590839;2021-09-28 19:45:34;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2785211269;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:26 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1953580989;2021-09-28 19:44:06;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2785192919;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:27 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1949087389;2021-09-28 6:52:21;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2778648159;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:27 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1949087389;2021-09-28 6:52:21;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2778648169;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:27 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1953810839;2021-09-28 20:18:08;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2785550859;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:27 PM;ebeseadeeplink;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1956623539;2021-09-29 8:42:21;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2790062939;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:27 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1957880699;2021-09-29 13:04:59;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2791758979;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:29 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1949713899;2021-09-28 9:48:19;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2779534959;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:29 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1945997579;2021-09-27 18:16:44;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2773513889;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:30 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1949524899;2021-09-28 9:00:34;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2779268209;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:31 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1948977909;2021-09-28 6:04:28;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2778485419;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:31 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1959207629;2021-09-29 16:00:06;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2793594469;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:33 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1957487459;2021-09-29 11:55:45;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2791225739;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:37 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
Climbing Gap: l'extracurriculare che il mondo del lavoro apprezza;1.707E+11;1937025479;2021-09-26 22:20:18;1;Biglietto gratuito;Dipartimento di Economia e Management;63371049;JETN - Junior Enterprise Trento;2754862789;Singolo;;Sep 29, 2021 at 6:30 PM;September 29, 2021 6:41 PM;oddtdteb;EUR;0;Check-in eseguito;Biglietto elettronico
