,DENOMINAZIONE,ID,INDIRIZZO,CAP,COMUNE,PROVINCIA,COMUNITA DI VALLE,NAZIONE,SITO INTERNET,LATITUDINE,LONGITUDINE,ALTITUDINE,CATEGORIA 1,CATEGORIA 2,CODICE ACCESSIBILITA' 1,CODICE ACCESSIBILITA' 2,CODICE ACCESSIBILITA' 3,CODICE ACCESSIBILITA' 4,CODICE ACCESSIBILITA' 5,CODICE ACCESSIBILITA' 6,CODICE ACCESSIBILITA' 7,CODICE ACCESSIBILITA' 8,CODICE ACCESSIBILITA' 9,CODICE ACCESSIBILITA' 10,CODICE ACCESSIBILITA' 11,CODICE ACCESSIBILITA' 12,CODICE ACCESSIBILITA' 13,CODICE ACCESSIBILITA' 14,DATA ULTIMA MODIFICA,DATA RILEVAZIONE
68,GIARDINI GIORGIO PERLASCA,885,CORSO BETTINI,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8949733,11.0435503,200,Parchi Pubblici,,AI-6d,AI-6fg,AE-1abc,AI-6r,,,,,,,,,,,2016-04-14 11:57:44.129,2012-06-01
69,GOCCIA DI LATTE,848,"VIA TARTAROTTI, 56",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8892634,11.0422241,200,Gelaterie,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,2011-06-07 14:29:50,2010-10-20
70,GOOD TIMES,919,"VIA RIALTO, 50",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8994554,11.0445789,200,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,,,,,2011-06-21 14:07:10,2010-09-28
71,HOTEL LEON DORO,945,"VIA GAETANO TACCHI, 2",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.hotelleonedoro.it,45.8909655,11.0375569,200,Alberghi / Hotel,,AI-5fb,AI-5fa,AI-5f,AE-3abde,AE-2d,,,,,,,,,,2011-06-23 09:33:28,2011-02-07
72,HOTEL ROVERETO,944,"CORSO ROSMINI, 82/D",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.hotelrovereto.it,45.8909473,11.039897,200,Alberghi / Hotel,,AI-5fb,AI-5fa,AI-5f,AI-5ea,AI-5e,AE-3cf,AE-3abde,AE-2a,,,,,,,2011-06-23 08:35:16,2011-02-07
73,IL CIBO,907,"SCALA DEL REDENTOR, 4",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.ristoranteilcibo.com,45.89590739,11.0396289,200,Ristoranti,,AI-6d,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-2c,,,,2013-01-24 16:14:27.835,2010-09-28
74,IL FORNAIO,832,"VIA GARIBALDI, 23",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8901912,11.0414048,200,Panifici,,AE-3abde,AE-2c,,,,,,,,,,,,,2011-06-07 07:39:48,2010-09-28
75,LA DOLCE VITA S.R.L.,933,"VIA MAZZINI, 12",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8901843,11.0430142,200,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-2d,,,,,,2011-06-22 14:18:47,2010-09-22
76,LA SANITA' ORTOPEDIA,888,"VICOLO DEL MESSAGGERO, 14/16",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.lasanita.net,45.89241269,11.04756832,200,Ortopedie e Sanitarie,,AE-3cf,AE-3abde,,,,,,,,,,,,,2011-06-10 08:53:48,2010-09-22
77,LA TERRAZZA SUL LENO,913,"VIA SETAIOLI, 2A",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8871761,11.0422325,200,Pizzerie,Ristoranti,AI-6d,AE-3abde,AI-6l,AI-6i,AI-6e,AI-6bc,AI-6ad,AE-1abc,AI-6r,AI-6fg,,,,,2016-02-22 15:11:45.844,2010-10-20
78,LA TORRETTA BREAK,899,"CORSO ROSMINI, 9",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8909473,11.0398997,200,Self Service,,AE-3cf,AE-3abde,AE-2c,,,,,,,,,,,,2017-11-16 16:30:42.595,2010-09-10
79,LABORATORIO ANALISI DRUSO,883,"PIAZZA LEONI, 22",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8918659,11.040192,200,Laboratori di Analisi,,AE-3cf,AE-3abde,AI-5fb,AI-5fa,AI-5f,AE-2b,AE-2a,AE-1abc,,,,,,,2016-04-04 12:13:17.933,2010-09-24
80,LIBERI TUTTI,893,"PIAZZA ROSMINI, 16",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.890842,11.0436329,200,Librerie,,AE-3cf,AE-3abde,,,,,,,,,,,,,2011-06-10 12:10:51,2010-09-10
81,LIBRERIA GIUNTI AL PUNTO SPA,850,"VIA DELLE SCUOLE, 3",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8901028,11.0421945,200,Librerie,,AE-3cf,AE-3abde,AE-2d,,,,,,,,,,,,2016-04-04 12:06:04.412,2013-02-21
82,LIBRERIA MONDADORI,897,"PIAZZA ROSMINI, 4",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.libreriarosmini.it,45.891087,11.043872,200,Librerie,,AI-5b,AE-3cf,AE-3abde,,,,,,,,,,,,2013-02-26 16:26:56.893,2013-02-26
83,LIBRERIA PICCOLROAZ SANDRA,839,"VIA MERCERIE, 49",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8890926,11.0439881,200,Librerie,,AE-3cf,AE-2c,AE-3abde,,,,,,,,,,,,2016-04-04 11:18:46.6,2012-06-12
84,MACRAMÉ,881,"VIA DELLA TERRA, 15",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.macrame.villamaria-lenzima.it,45.8976801,11.0452184,200,Cooperative e Laboratori Sociali,,AE-3cf,AE-3abde,AE-2ga,AE-2g,AE-2gb,AE-2a,,,,,,,,,2011-06-09 14:38:45,2010-09-29
85,MANIALCIELO,937,"PIAZZA MALFTTI, 26/27",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.888254,11.0444584,200,Ristoranti,Bar,AI-6d,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,,,,,2011-06-22 15:07:22,2010-10-20
86,MART,1080,"CORSO BETTINI, 43",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.mart.trento.it,45.893977,11.044578,0,Musei,,AI-6o,AI-5fb,AI-5fa,AI-5f,AI-6d,AE-1abc,AI-6i,AI-6l,AI-6e,AI-6fg,AE-3abde,AE-3cf,AI-6p,,2017-11-16 16:34:36.011,2012-06-01
87,MUSEO CIVICO DI ROVERETO,1111,"BORGO SANTA CATERINA, 41",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.museocivico.rovereto.tn.it,45.889882,11.038708,0,Musei,,AI-6e,AI-6p,AI-5fb,AI-5fa,AE-2d,AE-2b,AI-6i,AI-5f,AE-2a,AI-6d,AI-6r,AI-6l,AI-6fg,AE-3cf,2017-11-17 09:43:51.946,2012-06-11
88,MUSEO STORICO ITALIANO DELLA GUERRA,1090,"VIA CASTELBARCO, 7",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.museodellaguerra.it,45.886432,11.046422,0,Musei,Edifici di Culto,AI-6r,AI-5fa,AI-5fb,AI-6d,AE-2c,AI-6i,AE-2a,AI-5f,AI-6e,AI-6fg,AI-6l,AE-1abc,AE-3cf,AE-3abde,2018-12-21 15:23:33.217,2018-12-10
89,OSTELLO DI ROVERETO,943,"VIA DELLE SCUOLE, 18",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.ostellorovereto.it,45.8901028,11.0421945,200,Ostelli,,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AE-2a,AI-6bc,AI-6r,AI-6p,2017-11-16 16:41:13.303,2010-10-22
90,OSTERIA DEL PETTIROSSO,928,"CORSO BETTINI, 24",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.osteriadelpettirosso.it,45.8949733,11.0435503,200,Osterie / Trattorie,,AI-6d,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,,,,2011-06-22 10:44:48,2010-09-13
91,OTTICA GUERRA,898,CORSO ROSMINI 5 A/7,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.occhibelli.com,45.8909473,11.0398997,200,Ottica,,AE-3cf,AE-3abde,AE-2d,,,,,,,,,,,,2016-03-24 12:22:30.282,2012-08-07
92,OTTICA IMMAGINI,829,"VIA FONTANA, 4",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8903071,11.0398933,200,Ottica,,AE-3cf,AE-3abde,,,,,,,,,,,,,2016-04-14 11:13:54.338,2012-08-07
93,OTTICA OSSATO,830,"BORGO SANTA CATERINA, 5",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.889878,11.039661,200,Ottica,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,2016-04-14 11:19:07.933,2012-08-07
94,OTTICA SOPPA,831,"VIA GARIBALDI, 32",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.soppa.it,45.890083,11.041069,200,Ottica,,AE-3cf,AE-3abde,AE-2d,AE-2c,,,,,,,,,,,2013-02-26 12:08:09.069,2013-02-26
95,PALAZZO ALBERTI,886,"CORSO BETTINI, 41",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.museocivico.rovereto.tn.it,45.8949733,11.0435503,200,Musei,Edifici Storici,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,,,2016-05-23 11:04:32.459,2012-06-01
96,PALAZZO PRETORIO - COMUNE DI ROVERETO,873,"PIAZZA PODESTA', 11",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.comune.rovereto.tn.it,45.8863903,11.0456686,200,Uffici Pubblici,,AI-5fb,AI-5fa,AI-5f,AI-5c,AE-3cf,AE-3abde,AI-6o,AI-6fg,AI-6i,AI-6l,AI-6e,AI-6p,AI-6d,AE-2a,2016-04-04 11:29:04.104,2012-06-14
97,PANIFICIO ROSSI,838,"VIA MERCERIE, 24",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8890926,11.0439881,200,Panifici,,AE-3cf,AE-3abde,AE-2c,,,,,,,,,,,,2011-06-07 09:32:55,2010-10-13
98,PARAFARMACIA DIVINITAS,867,"CORSO ROSMINI, 50",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.890914,11.041238,200,Farmacie,,AE-3cf,AE-3abde,AE-2c,AE-1abc,,,,,,,,,,,2016-04-06 09:48:48.055,2013-02-26
99,PASTICCERIA ANDREATTA,910,"VIA ROMA, 9",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8895172,11.0431164,200,Pasticcerie,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AI-6bc,AI-6ad,AE-2c,AI-6r,,,,,,,2013-01-18 10:33:13.629,2010-10-22
100,PASTICCERIA GALVAGNI,844,"VIA TARTAROTTI, 14",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.9295278,11.0425137,200,Pasticcerie,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,2011-06-07 14:09:22,2010-10-13
101,PASTICCERIA GELATERIA ZAFFIRO,930,"VICOLO PAROLARI, 10",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8908158,11.038611,200,Bar,Pasticcerie,AI-6d,AE-3cf,AI-6fg,AI-6ad,AI-6r,AE-3abde,AE-1abc,AI-6p,AI-6bc,,,,,,2013-01-18 14:36:59.791,2010-09-15
102,PIAZZA AL VOLO,841,"PIAZZA ERBE, 12",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8906277,11.047654151,200,Self Service,,AE-3cf,AE-3abde,,,,,,,,,,,,,2011-06-07 13:10:56,2010-10-13
103,PIAZZA ERBE,824,PIAZZA ERBE,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.88843305,11.044223,200,Piazza,,AE-1abc,,,,,,,,,,,,,,2011-06-06 13:01:16,2010-11-15
104,PIAZZA MALFATTI,823,PIAZZA MALFATTI,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.888254,11.0444584,200,Piazza,,,,,,,,,,,,,,,,2011-06-06 12:38:42,2010-11-15
105,POLIZIA DI STATO,932,"VIA SIGHELE, 1",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,http://questure.poliziadistato.it,45.891373,11.03549,200,Uffici Pubblici,Uffici Giudiziari,AI-6d,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-2gb,AE-2ga,AE-2g,AE-2a,AI-6r,,,,2017-01-11 16:30:08.417,2013-03-04
106,POSTE ITALIANE,900,"CORSO ROSMINI, 7",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.posteitaliane.it,45.891111,11.041147,200,Uffici Postali,,AI-5c,AE-1abc,AE-2gb,AE-2g,AE-2ga,,,,,,,,,,2013-03-04 16:16:15.863,2013-03-04
107,RISTORANTE DRAGO D'ORO,938,"PIAZZA MALFATTI, 12",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.888254,11.0444584,200,Ristoranti,,AI-6d,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-2c,,,,,,2012-04-27 13:14:19,2010-10-20
108,RISTORANTE GOLOSO DI ALE E MAX,908,"VIA F. OREFICI, 18",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.goloso.tn.it,45.8902894,11.0438793,200,Ristoranti,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AI-6bc,AI-6ad,AE-2c,AI-6p,AI-6r,,,,,,2013-01-18 10:17:17.585,2010-10-22
109,SALA DEGLI SPECCHI,878,VIA STOPPANI,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.casanatalerosmini.it,45.89098,11.0419074,200,Musei,Centri e sale culturali,AI-6d,AI-5fb,AI-5fa,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AE-2a,AE-1abc,AI-6p,AI-6r,AI-5f,2013-03-05 15:43:26.47,2010-09-29
110,SALA FILARMONICA DI ROVERETO,948,"CORSO ROSMINI,"" 86",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.filarmonicarovereto.it,45.8909542,11.0390169,200,Musei,,AE-2b,AI-5fb,AI-5fa,AE-2d,AI-5f,AE-3cf,AE-3abde,AE-2a,AI-6l,AI-6d,AI-6p,AI-6fg,AI-6r,AI-6i,2016-11-10 10:48:45.539,2010-09-29
111,SALA IRAS BALDESSARI,1471,VIA DEI PORTICI,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.comune.rovereto.tn.it,45.887429,11.044023,0,Centri e sale culturali,,AI-6fg,AI-6r,AI-6bc,AE-1abc,AE-2d,AI-6i,AE-3abde,AI-6l,AI-6e,AE-3cf,AI-6p,AI-6d,AI-6ad,,2018-07-06 10:04:45.708,2016-12-28
112,SEGRETERIA GENERALE,1100,"PIAZZA PODESTA', 11",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.comune.rovereto.tn.it,45.886526,11.045308,0,Uffici Pubblici,,AE-1abc,AE-3abde,AI-6l,AI-6fg,AI-6e,AI-6i,AI-6o,AI-6p,AI-6d,AI-5fa,AI-5fb,AI-5f,AI-5c,AE-2b,2013-03-14 15:59:08.427,2012-06-14
113,SERVIZIO CULTURA ISTRUZIONE,820,"CORSO BETTINI, 43",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.comune.rovereto.tn.it,45.8949733,11.0435503,200,Uffici Pubblici,,AI-5fb,AI-5fa,AI-5f,AE-3abde,AE-1abc,AE-2a,,,,,,,,,2011-06-06 09:43:38,2010-11-15
114,SOLATRIX SPA - CASA DI CURA POLISPECIALISTICA,822,"VIA BELLINI, 11",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.casadicurasolatrix.it,45.8987251,11.0456199,200,Ospedali,,AI-6d,AI-5fa,AI-5f,AE-3cf,AI-6bc,AI-6r,AI-6ad,AI-5fb,AE-3abde,AI-6l,AI-6fg,AI-6i,AI-6e,AE-2a,2016-04-11 16:02:37.003,2012-06-05
115,SPAZIO ESPOSITIVO,872,"VIA MERCERIE, 23",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8890926,11.0439881,200,Centri e sale culturali,,AE-3cf,AE-3abde,AE-2c,,,,,,,,,,,,2011-06-09 13:36:31,2010-10-20
116,SPORTELLO BANCOMAT CASSA RURALE DI ROVERETO,821,CORSO BETTINI,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8949733,11.0435503,200,Bancomat,,AE-4h,AE-1abc,AE-2c,,,,,,,,,,,,2011-06-06 09:58:10,2010-11-15
117,SPORTELLO BANCOMAT CASSA RURALE DI ROVERETO,833,"VIA GARIBALDI, 5",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.9276571,11.0424049,200,Bancomat,,AE-4h,,,,,,,,,,,,,,2011-06-07 07:37:00,2010-09-28
118,SPORTELLO PERIFERICO PROVINCIA AUTONOMA DI TRENTO ,1081,"VIALE TRENTO, 37/E",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.sportelli.provincia.tn.it,45.90767,11.0404,0,Uffici Pubblici,,AE-2g,AE-2gb,AE-2ga,AE-2b,AE-2a,AI-6e,AI-6d,AI-6ad,AE-1abc,AI-6r,AE-3abde,AE-3cf,AI-6l,AI-6fg,2013-03-11 15:35:49.393,2010-10-13
119,SPORTELLO POSTAMAT,855,"CORSO ROSMINI, 15",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8909473,11.0398997,200,Postamat,,AE-1abc,,,,,,,,,,,,,,2011-06-08 13:46:07,2010-09-10
120,STADIO QUERCIA,818,"VIA PALESTRINA, 3",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.comune.rovereto.tn.it,45.9011443,11.0363243,200,Impianti Sportivi,,AI-6d,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AE-2a,,,,,2013-03-18 16:41:44.762,2013-03-18
121,STAZIONE AUTOCORRIERE,935,"CORSO ROSMINI, 45",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8909473,11.0398997,200,Stazioni,,AI-6d,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AE-2d,,,,,2011-06-22 14:33:20,2010-09-10
122,STAZIONE FERROVIARIA,942,"PIAZZALE ORSI, 10",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8907117,11.0347042,200,Stazioni,,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AI-6r,AI-6p,AI-6d,,,2017-01-13 14:23:06.349,2010-09-15
123,STUDIO 53 ARTE,902,"CORSO ROSMINI, 53/3",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.studio53arte.com,45.8909473,11.0398997,200,Gallerie arte,,AE-3cf,AE-3abde,,,,,,,,,,,,,2016-05-26 12:19:49.37,2013-02-26
124,SUPERCINEMA ROSMINI,947,"PIAZZA ROSMINI, 18/A",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.supercinemarovereto.it,45.890842,11.0436329,200,Cinema,,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-2d,AI-6r,2018-07-02 14:40:02.942,2011-05-17
125,TEATRO ALLA CARTIERA,949,"VIA CARTIERA, 15",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.comune.rovereto.tn.it,45.8871759,11.0540547,200,Teatri e Auditorium,,AE-3cf,AE-3abde,AI-6e,AE-2d,AI-6i,AI-6d,AI-6p,AI-6fg,AI-6r,AI-6l,,,,,2016-12-07 14:49:10.988,2012-06-14
126,TEATRO ROSMINI,1113,"VIA PAGANINI, 14",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.teatrorosmini.it,45.891703,11.042612,0,Teatri e Auditorium,,AI-6i,AI-6p,AI-6e,AI-6d,AE-2d,AE-2b,AE-2a,AI-6r,AE-3cf,AE-3abde,AI-6l,AI-6fg,,,2013-03-19 09:22:30.75,2012-07-27
127,TECNISAN ORTOPEDIA,884,"CORSO BETTINI, 55/A",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.tecnisan.info,45.8949733,11.0435503,200,Ortopedie e Sanitarie,,AE-3cf,AE-3abde,AE-2d,AE-1abc,,,,,,,,,,,2016-04-11 16:09:56.746,2012-08-08
128,TECNOMED,894,"CORSO ROSMINI, 8",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.tecnomed-verona.it,45.8909473,11.0398997,200,Ambulatori Medici,,AI-5fb,AI-5fa,AI-5f,AI-5d,AE-3cf,AE-3abde,AE-2a,,,,,,,,2011-06-10 12:15:24,2010-09-10
129,TEMA,927,"CORSO BETTINI, 49",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.ristorantetema.it,45.8949733,11.0435503,200,Pizzerie,Ristoranti,AI-6d,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6e,AE-1abc,AI-6bc,,,,,,2011-06-22 10:32:05,2010-09-13
130,TRIBUNALE DI ROVERETO,931,"CORSO ROSMINI, 65",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.tribunale.rovereto.giustizia.it,45.8909473,11.0398997,200,Uffici Pubblici,Uffici Giudiziari,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6ad,AI-6bc,AE-1abc,2017-01-11 16:27:25.345,2012-06-12
131,UNICREDIT,856,"PIAZZA ROSMINI, 5",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.890842,11.0436329,200,Banca,Bancomat,AE-4h,AE-3cf,AE-3abde,AE-2d,,,,,,,,,,,2016-03-21 12:03:21.905,2012-08-10
132,URBAN CENTER ROVERETO,1461,CORSO ROSMINI 58,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.urbancenter.rovereto.tn.it,45.874421,10.886192,0,Centri e sale culturali,,AI-5f,AI-6l,AI-6e,AE-3cf,AI-6p,AI-6d,AI-6ad,AI-6o,AE-3abde,AI-5fb,AI-6fg,AI-5fa,AI-6bc,AI-6i,2018-07-16 12:14:20.704,2017-01-09
133,VIAGGI TROPICANA,903,"VIA GARIBALDI, 77/79",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.tropicana.it,45.8901912,11.0414048,200,Agenzie viaggi e Promozione Turistica,,AE-3abde,AE-1abc,AE-2d,,,,,,,,,,,,2011-06-10 13:41:01,2010-09-24
