,has_ID,has_officialName,has_municipality,has_province,has_country,has_website,has_latitude,has_longitude,has_elevation,has_facilityType,has_uploadDate,has_addr:street,has_addr:housenumber,has_accessibleElevator,has_reservedParkinglots,has_guidanceSystem,has_accessibleToilette,has_steps,has_ramp,has_staircaseSlope,has_levelOfAccessibility
23,287,A.T.M.A.R. Associazione Trentina Malati Reumatici Onlus,Trento,TN,Italia,www.reumaticitrentino.it,46.065148,11.122281,180.0,Associazioni,2010-05-19,Via Al Torrione,6,False,True,False,True,False,True,Dislivello in percentuale: 10.0; Lunghezza in cm.: 1400.0,yes
24,337,A.U.S.E.R. Associazione per Autogestione dei Servizi e la Solidarietà,Trento,TN,Italia,www.auser.it,46.0579773,11.1203449,180.0,Associazioni,2010-05-25,Via Vittorio Veneto,24,False,True,False,False,True,False, ,yes
25,331,A.V.I.S. Associazione Volontari Italiani Sangue,Trento,TN,Italia,www.avistrentino.org,46.060468,11.123765,180.0,Associazioni,2010-05-20,Via Sighele,7,False,True,False,False,False,False, ,limited
26,336,A.V.U.L.S.S. Associazione Volontariato Unità Locali servizi Socio Sanitari,Trento,TN,Italia,www.avulss.org,46.0634724,11.1216852,180.0,Associazioni,2010-05-25,Via Endrici,27,False,True,False,False,True,False, ,yes
27,807,ACCADEMIA,Trento,TN,Italia,www.accademiahotel.it,46.06872,11.120272,200.0,Alberghi / Hotel,2013-01-21,Vicolo Colico,4/6,False,True,False,False,False,False, ,limited
28,82,ACLI SEDE PROVINCIALE,Trento,TN,Italia,www.aclitrentine.it,46.06961,11.12075,257.0,Uffici Pubblici,2013-01-23,Via Roma,57,False,True,False,True,True,False, ,yes
29,424,ACLI SERVIZI TRENTINO SRL,Trento,TN,Italia,www.acliservizi.it,46.0684675,11.1216115,200.0,Uffici Pubblici,2013-01-15,Galleria Tirrena,10,False,True,False,True,True,False, ,yes
30,699,ACLI TRENTINE - CIRCOLO SAN GIUSEPPE SAN PIO X,Trento,TN,Italia,,46.0579773,11.1203449,200.0,Associazioni,2010-07-16,Via Veneto,24,False,True,False,False,False,False, ,limited
31,339,ACUSTICA TRENTINA,Trento,TN,Italia,www.acustica.trentina.com,46.057174,11.1282428,180.0,Farmacie,2010-05-17,Viale Verona,31/2,False,False,False,False,False,True,Dislivello in percentuale: 20.6; Lunghezza in cm.: 85.0,limited
32,525,ADGT - ASSOCIAZIONE DIABETE GIOVANILE DI TRENTO,Trento,TN,Italia,www.adgt.it,46.058677,11.121518,200.0,Associazioni,2010-07-16,Via Bronzetti,29,False,True,False,True,False,True,Dislivello in percentuale: 7.0; Lunghezza in cm.: 470.0,yes
